Diversity,Progress,w_set_A,w_set_B,w_set_C,w_set_D,Activated_Rules
0.06,0.84,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.86,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.88,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.90,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.92,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.94,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.06,0.96,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.06,0.98,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.06,1.00,0.2796,0.2600,0.3000,0.2200,low AND late -> low (0.001)
0.08,0.00,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.08,0.02,0.5000,0.5000,0.5000,0.4239,low AND early -> medium (0.100)
0.08,0.04,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.08,0.06,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.08,0.08,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.10,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.12,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.14,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.16,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.18,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.20,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.22,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.24,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.26,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.28,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.08,0.30,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400) | low AND mid -> low (0.001)
0.08,0.32,0.4303,0.4315,0.4608,0.4004,low AND early -> medium (0.400) | low AND mid -> low (0.100)
0.08,0.34,0.3760,0.3796,0.4211,0.3622,low AND early -> medium (0.300) | low AND mid -> low (0.200)
0.08,0.36,0.3299,0.3346,0.3789,0.3220,low AND mid -> low (0.300) | low AND early -> medium (0.200)
0.08,0.38,0.2872,0.2898,0.3392,0.2763,low AND mid -> low (0.400) | low AND early -> medium (0.100)
0.08,0.40,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400) | low AND early -> medium (0.001)
0.08,0.42,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400)
0.08,0.44,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400)
0.08,0.46,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400)
0.08,0.48,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400)
0.08,0.50,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400)
0.08,0.52,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400)
0.08,0.54,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400)
0.08,0.56,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400)
0.08,0.58,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400)
0.08,0.60,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400) | low AND late -> low (0.001)
0.08,0.62,0.2537,0.2453,0.3000,0.2200,low AND mid -> low (0.400) | low AND late -> low (0.100)
0.08,0.64,0.2599,0.2487,0.3000,0.2200,low AND mid -> low (0.300) | low AND late -> low (0.200)
0.08,0.66,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300) | low AND mid -> low (0.200)
0.08,0.68,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400) | low AND mid -> low (0.100)
0.08,0.70,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.72,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.74,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.76,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.78,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.80,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.82,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.84,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.86,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.88,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.90,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.92,0.2537,0.2453,0.3000,0.2200,low AND late -> low (0.400)
0.08,0.94,0.2599,0.2487,0.3000,0.2200,low AND late -> low (0.300)
0.08,0.96,0.2664,0.2523,0.3000,0.2200,low AND late -> low (0.200)
0.08,0.98,0.2731,0.2561,0.3000,0.2200,low AND late -> low (0.100)
0.08,1.00,0.2796,0.2600,0.3000,0.2200,low AND late -> low (0.001)
0.10,0.00,0.5000,0.5000,0.5000,0.4200,low AND early -> medium (0.001)
0.10,0.02,0.5000,0.5000,0.5000,0.4239,low AND early -> medium (0.100)
0.10,0.04,0.5000,0.5000,0.5000,0.4277,low AND early -> medium (0.200)
0.10,0.06,0.5000,0.5000,0.5000,0.4313,low AND early -> medium (0.300)
0.10,0.08,0.5000,0.5000,0.5000,0.4347,low AND early -> medium (0.400)
0.10,0.10,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500)
0.10,0.12,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500)
0.10,0.14,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500)
0.10,0.16,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500)
0.10,0.18,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500)
0.10,0.20,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500)
0.10,0.22,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500)
0.10,0.24,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500)
0.10,0.26,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500)
0.10,0.28,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500)
0.10,0.30,0.5000,0.5000,0.5000,0.4378,low AND early -> medium (0.500) | low AND mid -> low (0.001)
0.10,0.32,0.4303,0.4315,0.4608,0.4004,low AND early -> medium (0.400) | low AND mid -> low (0.100)
0.10,0.34,0.3760,0.3796,0.4211,0.3622,low AND early -> medium (0.300) | low AND mid -> low (0.200)
